credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score
3,3311.524905,15610.45432,77575.55722,3,603
1,6840.974508,9586.743224,97405.88042,6,672
0,4083.108908,3939.397848,59354.66119,3,591
1,2934.361094,10418.71792,70177.45793,3,738
0,3011.054165,5148.790769,66427.91987,5,724
0,4019.54333,6176.825379,68586.83098,3,598
2,2499.08233,7428.246291,44795.63165,5,709
0,2681.677402,3138.692699,45400.1967,4,649
1,2379.377461,4227.200535,41150.82256,5,646
0,4223.141148,5789.556586,81255.90086,3,563
1,3352.188299,7418.804335,75927.7993,6,544
3,3318.220604,13685.66986,61353.62394,2,563
0,3177.636482,5310.675935,64139.13277,5,650
0,7479.461413,5392.548488,83986.39207,4,661
5,3838.979905,17987.11053,69364.65894,6,523
5,4588.995443,27871.19934,94149.6484,4,592
5,2579.381496,9253.918441,37319.70823,6,698
1,1345.827718,1768.826187,23448.32631,6,631
0,4179.925769,2577.453168,74419.00231,2,604
0,5486.027852,2798.395835,77163.7419,4,647
0,7518.561103,873.9546337,87395.46337,3,637
0,5833.528624,5515.26473,81900.27273,4,716
1,3430.188623,5800.680868,54490.02228,6,658
0,4111.858579,4821.554276,48639.31861,3,636
0,3651.66093,3512.391664,56107.60769,4,650
3,4959.599273,17112.55006,84614.30065,4,633
0,3568.270893,680.6030299,68060.30299,6,624
5,6380.9341,28966.19979,100727.3454,2,597
0,4978.717921,3107.041524,80492.73563,3,594
1,6074.616765,9309.231021,93160.69486,6,688
1,6719.431149,11140.85715,97446.55253,5,659
4,4763.881173,18770.64651,79867.26864,3,589
5,3624.428286,16906.51363,55604.50981,5,630
0,3721.736333,3195.345607,81467.93539,4,679
0,3685.115232,670.5567741,67055.67741,6,691
0,3995.546513,5943.101425,78189.13958,5,752
3,3634.526849,7846.217103,47004.58535,4,616
0,5117.770945,8227.112315,91477.44977,2,679
0,5731.233045,6717.219838,82856.09852,4,626
3,3253.733033,11796.35559,62614.30641,5,732
4,2608.798997,11177.43742,39682.19883,1,480
5,6775.11242,22579.11278,84112.19698,3,526
0,4781.329847,3038.32016,67197.20356,4,711
0,4791.479616,3244.538961,66725.45039,5,622
0,4470.067333,4489.675364,67243.98637,1,686
0,4298.926591,671.7727212,67177.27212,5,643
1,4190.038187,8359.675253,82577.0122,6,665
2,3353.219834,7784.64305,52503.9492,7,775
0,4767.023524,4753.279669,77795.5046,5,593
1,3398.20018,8091.235152,71626.82402,5,643
1,1931.179431,4534.401806,40142.23533,5,655
0,3448.308474,5438.010026,46537.38826,3,728
0,2264.648869,2138.377198,30248.31246,3,629
5,4477.721762,25525.87565,63190.6675,3,612
1,5518.435793,10599.12791,88240.48324,6,657
1,4914.024268,7958.965339,84470.58362,7,645
2,2479.270394,7516.998468,62124.61695,9,700
0,2791.555095,6093.441428,77669.95978,5,600
3,4406.064294,13337.87777,64818.58305,2,613
0,1808.144725,346.7568015,34675.68015,4,691
1,3965.683415,8349.643077,74740.79451,6,708
0,4382.509574,3133.040381,85105.78173,6,637
1,3129.578933,7463.773017,56593.67421,4,628
1,2855.617066,7655.72516,75850.18628,6,675
0,5159.647857,5677.779199,93113.2295,3,680
0,5031.435329,733.8824472,73388.24472,3,607
0,1599.932207,1077.329553,26191.3807,2,697
0,3612.747893,5915.341718,60362.6438,3,718
3,4264.805627,14519.71866,77053.92249,3,542
2,2842.029989,8783.739171,62339.38677,8,611
0,3945.639511,2599.3489,58251.55973,3,571
0,4984.281285,4629.662463,74205.39695,3,574
5,5849.35121,26886.72297,94681.71457,4,603
1,3719.211252,7420.545923,59494.52899,3,563
0,5294.541149,4940.053234,71359.68985,4,659
5,5444.325243,23588.40791,83329.24777,4,538
3,6303.852929,18245.76597,96827.44695,5,733
5,4760.887846,18779.06415,72115.80167,5,686
0,4398.379847,4573.286643,77604.35193,6,612
3,2669.65258,7511.787518,39076.15827,5,623
0,5697.975742,5963.640256,91284.70103,4,541
5,4029.120901,23608.0297,70688.73847,4,596
1,3580.413192,9621.194275,70489.29312,2,653
0,4813.551473,6650.582101,80176.1436,5,693
0,6572.448621,3661.749163,84604.85911,4,703
1,6114.066639,10454.60074,90441.83333,5,720
1,5915.749053,12308.85242,93839.00761,4,617
5,2958.200911,12752.72402,41682.45011,7,608
2,5356.184457,12487.29924,96579.49746,6,697
0,4157.987816,1089.616916,81019.71778,6,695
1,3821.420859,11797.62033,101311.898,7,593
1,4316.701556,6736.890358,84754.87494,6,652
0,4157.028851,4147.695066,90014.72426,4,585
3,4863.253267,18435.86103,89210.95378,4,651
0,2314.475477,382.322336,38232.2336,3,603
1,4455.630481,8261.398433,83089.12888,7,671
4,3923.562277,16067.95465,60866.36145,3,625
1,1719.715333,2798.636762,28383.11892,5,609
0,1648.241456,2197.938574,38943.89925,5,668
2,6705.913686,13895.14192,87785.81881,3,587
0,2449.077785,1149.347697,36908.57092,3,782
0,4585.151073,6082.309066,79786.6053,3,632
1,5779.138662,11173.43162,105409.566,6,584
0,4675.98479,2253.701293,68546.85185,5,631
0,4557.023144,4075.51152,59485.44882,5,572
0,2274.747659,435.7796619,43577.96619,4,628
5,5351.428448,22432.06498,81234.2193,3,572
3,6104.353215,23786.77261,111338.0614,3,703
2,2830.800842,8265.677393,55063.72866,4,686
0,3683.633262,5129.960453,46780.23429,2,682
4,2856.581126,11811.44214,47521.30673,3,581
3,3619.541694,10979.86816,56569.21149,4,628
2,2995.295607,7937.240161,60996.38752,7,730
5,7543.390862,36575.47006,115721.5257,4,672
0,6277.372179,9524.698496,101555.6626,4,542
0,4811.168115,4998.887976,80712.2179,4,675
3,3041.911856,11193.67014,55651.02151,4,639
1,4817.516052,9998.191965,77425.06043,3,623
4,6155.068507,22381.78988,89918.94142,1,557
2,4834.821693,10433.93469,84023.39724,4,667
0,7223.682556,7276.828673,112710.2906,5,556
4,5317.0164,18154.87732,70914.39078,1,512
0,3133.909993,3137.966349,53807.86808,4,679
0,3180.28053,7643.214353,76082.56395,4,714
1,5501.419044,8046.621218,80624.09593,6,691
2,3090.070078,10881.03866,69880.84287,6,786
0,1518.856821,1485.504338,23487.26805,5,659
5,6272.920481,24892.17654,72947.45246,2,631
1,2039.449277,4107.122906,36636.5646,5,685
5,5772.629333,28959.12492,84333.16487,2,483
3,3648.073806,10698.10368,62780.78495,5,648
2,5658.445065,10867.19012,76499.93686,4,654
0,3816.474544,5289.934544,64552.47359,5,668
1,4657.081942,6737.520333,58957.11716,6,662
3,4386.838479,19708.95134,106826.8659,5,689
3,1930.942914,7482.071569,47557.41037,5,588
3,6841.201842,24098.5487,116926.859,6,682
1,4421.929158,8352.473646,78040.79421,5,702
1,2962.835,5609.552073,52743.7418,5,718
3,3186.054323,10920.87553,55293.82335,3,635
1,2409.352991,5418.327797,47466.5797,4,743
4,2964.0035,12815.31018,56667.24521,4,658
5,6402.691692,29314.33797,102781.1951,2,613
0,3487.51427,2083.645969,62156.58264,5,636
1,4270.490684,9900.267097,94234.25673,7,740
5,3944.134878,24299.45317,77410.90442,4,586
1,6288.85966,8659.953799,87570.08513,4,691
4,3910.85552,18092.90375,75685.73208,4,626
0,3439.604704,2229.11813,57539.46355,6,622
0,4834.383389,9810.274596,82893.4996,3,617
0,3055.605549,7123.916725,90021.65453,5,614
2,3599.253309,5740.888501,52190.16077,7,656
1,3955.79025,7765.869717,62561.44651,5,677
0,5375.090257,6696.962995,97360.01295,3,645
5,4333.42583,24731.98108,75999.85665,3,618
0,2762.45489,5355.339975,64325.18115,4,704
0,4393.70835,2891.27095,50820.03378,5,652
2,4829.136876,13531.38798,94492.86096,8,712
4,5013.676534,18072.97254,69523.11918,1,527
1,1964.438165,3969.899454,39897.48348,7,664
5,3676.139149,16029.07054,57884.35769,3,536
1,2396.943058,6156.393979,53272.15139,6,604
1,3225.368245,6866.411364,74095.71159,5,617
0,4927.697673,4667.493831,65726.88149,4,593
0,4962.011162,3258.71812,86596.37596,6,675
1,4465.602071,6574.669188,70041.12899,5,717
3,4740.441685,13877.69575,77332.61801,6,595
0,2985.413696,1714.846238,53939.39823,6,607
5,3117.799433,17261.75435,61901.13456,4,563
1,3843.430126,4928.897055,54528.77476,7,605
0,7042.304481,4137.426549,85413.0674,5,745
2,4517.910858,12418.77352,79237.71161,4,649
0,3767.153254,670.0294215,67002.94215,2,699
0,7103.753175,4488.556177,90257.20221,2,543
2,3543.732524,13830.56933,91474.60445,6,683
0,4141.066206,5396.105209,69824.17694,6,787
3,2470.697454,9200.653077,43361.77501,4,651
5,4939.559872,36617.98351,110839.2913,7,572
2,2766.877502,7594.676517,48243.41618,7,744
0,4392.972756,8136.933063,88944.02737,3,641
5,1548.008433,7167.181484,24360.85192,3,638
2,6540.795723,7352.231086,91675.55833,8,647
5,5072.574662,23510.93461,77493.19072,4,671
2,5872.348053,10641.32316,88164.80104,5,704
1,3167.060798,4494.991825,56523.68903,6,621
0,5158.059567,3491.709421,92590.7082,5,618
5,4338.461282,17095.02406,63496.12099,3,642
3,2985.295483,9053.608314,48306.4124,5,651
2,4846.759877,10715.40342,90176.38126,7,692
4,4819.694373,17034.31498,80094.28127,5,504
1,4437.535274,7837.888084,73224.06455,6,566
0,5292.927948,2804.893916,75518.84697,3,641
1,5018.338786,8666.491564,97430.21757,5,621
5,6226.277321,28635.373,86448.06008,4,609
0,3637.849528,649.538317,64953.8317,5,708
0,5010.804576,4057.168232,75143.67666,4,580
0,2378.623035,3007.353653,59634.68891,4,573
0,3541.252389,4255.36865,65201.48527,6,568
1,5961.77695,7526.752206,104609.9858,8,727
0,3285.85052,7197.059034,74329.83691,4,629
1,3771.643943,8840.01894,93494.37036,6,724
0,4282.014474,5485.780494,71366.7113,3,741
1,3364.303359,4880.868805,56527.21725,6,663
1,2257.245569,2750.366813,27626.21808,6,603
0,3813.001313,2386.504766,89230.82151,6,674
4,2901.083111,13592.68657,48998.24784,0,494
0,5566.733851,2676.595649,70924.28087,1,636
3,3494.326472,10168.24096,56635.46893,6,602
0,5227.367519,5486.54633,87519.86831,3,616
4,2612.715711,10972.46661,51088.05689,5,674
1,2228.916315,3358.027587,33726.6045,5,691
0,5254.604098,6562.414202,78624.77265,5,647
0,3952.90025,5942.352363,75687.05976,5,574
5,4855.992627,19298.38396,69907.21408,3,580
4,3393.48251,12532.10918,55494.5622,5,650
1,6149.823357,7369.31991,81963.92766,4,749
1,4485.616903,6886.229719,80505.29993,5,681
0,3615.297229,2412.682267,47882.4889,4,597
0,3931.279915,4855.824046,68704.04986,5,674
0,4966.541412,5912.835759,77613.28769,3,636
1,3366.178871,4719.255783,55236.35115,5,603
1,4802.444448,8345.895526,91379.51798,6,614
3,4164.052188,13923.64106,68732.13537,4,637
3,1618.478271,4025.010777,23837.68299,5,627
1,2446.629834,3697.938067,43358.99804,5,711
0,7118.65773,994.725049,99472.5049,3,627
5,3377.803446,17709.23365,62376.25742,2,594
0,3016.956317,2102.630608,42939.51769,4,602
1,4233.023081,5408.702201,59235.08553,5,624
0,3631.344336,4897.449543,77189.58267,4,578
1,5028.107555,8413.934027,85444.56386,5,658
0,4782.550372,2962.051911,74186.05638,2,572
1,6307.913781,10139.91165,109809.745,3,567
0,4840.560546,746.9756314,63343.93002,5,604
0,5254.585205,4235.009482,78727.73528,6,674
3,4270.016067,10273.40053,54647.49298,5,632
0,3544.585277,4705.780518,62967.44961,3,646
4,4641.646031,15812.12985,64900.22511,0,574
1,4142.051341,6988.591743,85257.62518,6,744
0,3133.033869,779.3412656,77934.12656,7,653
5,3313.054879,21685.07945,61703.45142,4,580
1,3678.203431,6702.973344,65754.68257,5,693
2,2994.778683,8795.221641,64373.47126,5,589
0,3885.6924,5953.038679,85221.16025,4,626
0,3686.700023,621.5534035,62155.34035,5,621
2,4735.162961,10449.82654,84450.22793,5,780
0,5279.429673,11271.41439,112623.4056,4,662
1,3838.645413,5707.316785,61465.68683,5,624
1,2213.954171,4863.80483,36149.63165,5,713
0,1763.383743,857.3146063,85731.46063,7,667
0,2801.639335,4212.665837,50970.78858,4,696
3,6670.650548,17780.99703,92157.14643,5,664
0,4461.847138,6965.056642,98149.74308,6,581
1,3235.557353,4888.833628,63931.72592,7,581
5,6167.877515,38083.68216,109209.1506,4,608
1,3692.192911,6227.510502,64364.64003,7,656
1,2956.124588,5638.130423,57206.50963,6,569
0,4871.572756,8324.362869,80024.26889,3,652
0,5026.0667,4199.843676,87973.48529,3,576
2,4764.584652,10473.01363,69678.97767,4,660
5,5179.604575,20550.32829,66333.74538,3,681
0,3814.852526,3922.187622,44005.81942,2,663
5,4949.051775,21072.23408,75100.47817,3,584
1,3757.844702,7293.609301,51924.44707,5,707
0,4436.199793,5565.214454,89702.8067,5,610
0,3894.004292,5142.900836,70766.94277,3,680
0,5427.680397,7541.800226,96338.40587,4,648
3,2242.870806,6091.120422,35006.80151,5,639
0,5630.455556,6772.931913,94433.28821,4,603
0,5266.389458,808.1858862,80818.58862,4,600
1,4034.187023,8448.723568,75177.19529,6,669
2,3236.483811,7635.657613,50220.6592,4,684
0,2869.026785,3728.586226,53297.90209,2,654
1,1635.181724,3188.653677,36219.77775,6,581
2,4216.902641,14832.23318,87994.85395,6,662
1,3897.154042,7344.823814,81286.5835,5,716
0,1003.545213,1242.194251,18825.63353,2,607
1,6032.263888,7496.435651,78147.74995,6,637
0,3713.739804,1216.427637,62450.33708,4,644
1,2737.156028,4354.625035,54485.62362,6,719
1,6251.434121,9774.826536,103477.3915,5,613
2,4273.50063,8767.774306,83253.81008,7,686
3,3238.570448,9255.063053,53264.41529,4,575
0,4837.380207,4973.174396,67128.24185,3,546
1,3921.39497,7101.469091,64138.13594,5,719
1,5650.894007,10615.64941,108203.5606,5,649
0,2468.611276,3607.3715,44363.83234,5,601
4,3527.717443,14499.36506,68773.4951,8,605
0,3922.864307,3557.880276,77848.10149,5,652
1,5247.328101,8748.086003,109595.5896,8,690
1,5185.974584,11697.5215,100248.2978,6,709
1,1708.581386,5599.170551,48600.31398,6,679
0,4917.211867,7313.751921,93533.48746,3,608
2,6860.550442,18373.27574,113008.9413,3,567
5,4678.661225,25987.44629,87816.59481,3,713
0,3285.841537,4459.926443,66382.17214,4,596
0,3542.228939,588.1252029,58812.52029,5,662
5,3034.356018,14787.33146,53430.32619,3,669
0,3575.565797,4333.964529,60643.91033,4,649
0,3774.628485,929.9854778,92998.54778,4,768
0,4817.41023,6297.854703,83595.45893,3,603
0,4724.751044,4473.049584,64983.73091,4,580
2,3140.609569,7621.456282,52767.16137,7,635
2,5656.270197,14242.22428,102428.3789,5,629
1,2564.272555,4675.553529,47195.66442,7,708
5,6581.39079,31676.46969,90542.68788,4,557
5,2721.00044,12664.94739,39815.62359,5,561
0,3750.887225,3732.975073,67930.61483,2,662
5,5541.820831,27788.11006,83222.11189,4,688
0,9351.882044,10991.95995,136337.4348,4,651
4,7041.149918,19960.30888,87477.4783,3,530
4,2797.025357,13455.74776,54976.00215,1,675
5,4610.353595,19974.31607,70825.70058,4,568
0,1852.451532,2462.065016,38167.11227,6,731
0,2581.964055,3706.554792,45107.34014,6,667
1,3478.624993,7323.048872,75928.65371,5,633
0,5389.378576,5246.330496,72256.22197,3,550
0,3003.105884,4443.347002,48031.44409,4,678
1,4018.745383,9586.036031,88875.51913,5,699
0,6034.634066,820.6715904,82067.15904,4,662
4,5697.460978,16043.17492,80666.18957,6,727
0,5241.05124,6831.49655,71128.03377,4,634
1,4444.303585,9610.569244,84237.45019,6,613
1,1997.604221,2826.221232,36535.1784,6,565
1,4836.718657,5525.489092,71349.61384,6,692
1,7050.471716,12388.95544,114361.1659,5,742
2,5540.650003,10951.0032,84877.23198,5,555
0,4170.27282,4858.134352,99885.35028,5,541
0,3656.57565,1968.802887,68056.59404,5,600
1,4708.506037,10587.28125,85655.07189,5,724
0,5529.900594,5953.91868,70449.73038,4,679
5,2426.25889,13347.39229,56622.49156,5,635
0,2289.989407,4161.991293,83721.23153,7,785
1,5480.11044,6358.547574,84518.09654,5,611
4,4562.733611,9665.306455,48504.94677,4,572
0,4464.010107,6120.320077,77256.47985,4,655
0,4234.704469,4211.990357,68344.98797,3,703
3,2802.558648,7507.859367,45725.59982,5,598
1,3757.054873,9025.621762,73512.29103,5,678
0,2212.887987,610.7649879,42642.15937,4,642
5,6068.572941,26778.17344,84782.81686,2,647
2,4693.897513,12003.94912,75151.29976,2,581
5,3386.970037,17780.46607,70836.83747,4,494
0,2929.514976,4194.641676,61444.01631,5,619
5,4854.454453,21002.15478,89538.58671,5,628
0,1768.485886,676.2517163,44924.47771,5,656
1,3558.551904,5231.17193,53200.70056,6,532
3,1886.332409,6707.579825,50245.35959,9,618
2,5149.749879,11248.29766,76558.43967,3,577
1,6423.482898,10422.67875,98799.79535,7,625
2,4539.911168,10234.46854,67401.03325,5,727
5,3350.307382,14330.04352,44773.71068,5,611
5,6188.589259,22255.62825,82042.26932,3,563
0,2451.032819,2132.945822,41640.64188,3,635
5,4081.106202,18039.93783,63401.39518,3,635
1,2312.459155,6083.426802,58898.90225,6,661
0,3886.155911,5887.147007,68081.33875,4,753
1,4637.119343,6297.058769,76539.22217,6,553
0,4748.319158,5285.202341,91637.10508,5,650
1,3988.808926,8479.78167,72875.95874,5,653
5,3961.533162,16383.19128,63491.89036,4,515
0,4249.925633,4873.728859,72676.09047,5,598
0,940.5986828,443.155667,14327.19557,3,637
2,2783.402561,5059.035475,42288.42283,5,699
4,3261.200257,12311.82681,47631.83815,3,648
1,3334.348698,5766.253372,60425.73314,6,614
0,5161.069513,4976.153137,62723.45205,3,564
1,4107.989365,9430.46352,85117.58236,6,615
0,6820.39942,6736.532572,113946.6085,7,638
0,6616.686545,986.753993,98675.3993,7,672
0,5089.931802,789.1153731,78911.53731,5,648
4,6027.062467,17653.62524,80492.5566,5,639
1,3247.818407,6365.525079,67996.47112,7,779
0,2805.697189,3756.313998,48014.74217,5,608
0,3953.94601,3033.332368,59165.26754,4,537
2,3325.686655,13134.21962,86012.03221,4,626
2,5545.027682,10937.14365,78359.26436,4,612
1,1920.913361,5224.210359,51574.82545,5,624
1,2199.707833,4088.596778,45176.79245,5,626
1,3364.744753,7564.290222,74723.08122,6,642
1,6013.575162,11440.23937,92867.3405,1,640
2,5241.268473,13895.47399,88645.911,2,611
1,3066.60215,5750.739169,61346.65744,6,638
1,4526.180374,7629.265313,90306.22431,5,678
0,2437.736736,4028.896051,38502.64477,3,563
0,5550.892413,8307.184167,92256.30488,3,656
1,4560.847703,7265.07676,68748.81814,5,709
4,4155.655979,15168.56441,75444.15222,7,659
1,4943.225431,5678.179907,77397.90395,6,637
4,3002.126489,13559.65157,62142.00249,7,606
0,1800.207678,296.5909171,29659.09171,4,637
0,3460.959306,629.8869367,62988.69367,5,715
5,5585.409425,22677.36728,89415.40473,5,643
3,5043.896491,14816.74108,83481.06361,5,643
4,3302.172238,13067.57021,50352.16821,3,545
5,6176.802543,18095.01414,67965.26102,3,635
4,3844.349575,18002.99794,83829.4718,7,683
0,3900.924379,5162.661742,73597.94004,6,584
3,2188.863385,11494.03033,70455.27188,6,578
1,3669.299023,10533.5218,79411.19919,6,683
5,5035.264865,20627.72538,72189.39064,3,664
1,4018.192061,5858.383776,60739.95502,7,666
1,4196.270466,9011.281805,80458.55826,6,692
0,2131.039489,3057.823704,47938.68878,4,661
3,5305.630834,16001.27126,83248.33659,4,629
0,2636.276195,1201.862489,57444.86187,3,569
2,3601.686098,12270.55794,65847.80698,2,588
1,4181.516145,4799.964706,53691.56705,5,693
2,3825.850948,8399.915899,60922.98812,6,607
5,3485.411903,15593.45358,43489.05051,3,603
0,3345.858415,1666.392097,53867.53299,4,579
0,5117.073381,2460.925356,92731.4725,4,665
1,4288.78574,7546.938118,71062.83033,6,577
2,2638.428314,6992.09004,48354.96062,4,656
2,4122.709936,10408.1868,62903.55347,4,779
0,4110.704846,3694.286204,60717.99748,3,649
3,1937.12087,4735.689437,32975.72011,8,672
1,5700.532331,9448.258885,82150.71755,5,683
1,3790.645623,5705.328808,61342.69872,6,690
0,4174.699173,6341.808271,59909.2801,3,605
0,3885.950143,2542.927089,59133.77189,5,611
0,3866.094568,4862.110241,59540.46986,4,752
0,2780.615097,2714.830269,57004.55984,7,659
0,4691.107056,1745.300224,97470.15128,6,530
5,3610.069746,15620.71465,47335.58708,4,561
1,4867.988816,8874.342824,67830.10491,5,703
5,5472.502637,24023.7827,84232.37561,4,520
0,3694.510482,4558.483873,65357.47728,4,531
0,3106.481991,2829.449907,49696.72641,4,611
1,2624.471044,6642.994478,56731.8716,6,640
0,3084.61537,3209.32562,53506.67028,6,621
3,4119.955033,14756.16813,74362.76621,6,679
1,4432.250258,5384.75618,88528.63379,8,793
0,1886.273642,2744.071296,46137.16565,5,697
1,4546.526373,8893.496284,81875.94971,7,661
5,3813.920802,18146.48045,63187.45097,3,663
0,400.2707197,655.8618149,8751.085156,4,594
4,2599.448792,9127.453917,34661.90304,1,591
0,5079.377681,3779.388782,71510.91495,5,718
3,3766.578419,9984.926803,53539.50183,4,685
0,3997.173102,4200.725419,57177.08332,4,617
5,2764.332625,12330.67287,42652.70515,3,613
0,2124.76611,1499.470247,45229.03534,2,583
1,2993.754616,6805.578195,76115.72875,7,677
0,3171.22109,1705.405696,50466.16489,4,637
0,4692.981913,5680.906934,88369.55481,3,600
0,3891.850263,1605.803089,70722.00469,6,694
0,3319.253072,4839.424807,58918.16484,4,602
0,2259.203656,1561.381084,49200.76896,6,751
1,3073.179467,4139.722687,51553.93434,5,712
1,5217.629965,12082.03494,85653.39059,4,633
0,2170.745892,5208.732989,57921.07259,4,612
1,4181.83081,6465.481969,65978.57573,7,709
0,3210.433353,3268.230568,47043.38156,4,679
0,5308.068663,8613.676684,75082.73655,3,652
0,7737.109466,8589.706268,92693.60103,2,599
1,2492.888156,4850.735659,62148.53463,7,690
0,4885.639944,6695.110912,84928.34714,3,626
5,5059.539885,21233.54647,76312.27643,4,570
0,6489.225863,6295.76762,94982.47515,6,629
1,4943.980907,7601.826409,71627.35004,7,639
0,6267.988685,5396.157444,88878.79936,3,627
0,8067.798085,7104.994975,105615.7714,5,639
0,5149.476373,6166.748455,80336.01235,4,707
0,2297.471818,1341.594849,49343.91759,3,661
4,2721.436749,10858.20226,43343.95016,1,505
2,3553.179208,9264.469196,71106.61473,6,544
4,5759.938932,22075.14038,82613.51713,3,648
4,2582.761385,8989.454785,42430.48784,6,670
5,2767.80677,13832.86696,45058.30304,3,570
2,2073.519465,5622.623143,37701.97708,5,608
1,4265.673163,9806.000037,69168.66344,2,571
2,5485.822064,15270.20586,96951.96815,4,655
1,3364.715329,8031.857748,77275.26211,6,631
3,3053.389559,12582.79006,59146.5633,5,662
0,3722.703275,5300.532067,61368.58689,3,568
1,4891.8562,11372.4309,89228.87641,3,589
1,3647.332506,6489.218331,52583.56463,6,665
0,3417.068064,3531.732672,50605.67841,4,521
2,3901.784939,8329.705848,53692.78496,5,684
0,3174.621278,2847.583882,61732.56397,7,670
2,7710.824428,10968.64549,115450.7176,9,651
1,5369.735499,11901.96952,90359.39041,4,670
0,3635.971938,4938.572578,54056.92022,4,563
0,3260.725933,3749.09663,53740.64033,4,651
1,3570.72306,5986.405959,56850.01399,5,664
1,4507.804585,10033.05041,73876.45504,3,629
0,5233.511933,6730.918159,73734.25315,3,681
3,6596.195494,16086.9749,91952.22747,4,628
0,3181.885471,5502.907683,59891.51586,4,597
0,4031.822674,4216.062958,74249.1923,4,631
0,3048.242505,2320.84863,51686.57087,3,631
1,6526.726513,13869.96364,102937.705,2,720
5,2307.962788,12329.90417,37822.42434,1,644
0,2784.240833,4694.665576,51121.59387,3,600
1,2733.86834,5434.690811,50434.79113,5,690
